Location,Latitude,Longitude,Elevation,Skycover,Orientation,Tilt,ACenergyPerYear,img
Ardabil,38.317,48.417,1332,6.031665,-45,0,267.981217,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-45_Tilt0.png
Ardabil,38.317,48.417,1332,6.031665,-35,0,289.396595,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-35_Tilt0.png
Ardabil,38.317,48.417,1332,6.031665,-25,0,309.203211,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-25_Tilt0.png
Ardabil,38.317,48.417,1332,6.031665,-15,0,324.975573,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-15_Tilt0.png
Ardabil,38.317,48.417,1332,6.031665,-5,0,334.305725,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-5_Tilt0.png
Ardabil,38.317,48.417,1332,6.031665,5,0,335.668061,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation5_Tilt0.png
Ardabil,38.317,48.417,1332,6.031665,15,0,329.32185,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation15_Tilt0.png
Ardabil,38.317,48.417,1332,6.031665,25,0,316.244568,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation25_Tilt0.png
Ardabil,38.317,48.417,1332,6.031665,35,0,298.919377,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation35_Tilt0.png
Ardabil,38.317,48.417,1332,6.031665,45,0,278.098398,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation45_Tilt0.png
Ardabil,38.317,48.417,1332,6.031665,-45,10,281.846137,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-45_Tilt10.png
Ardabil,38.317,48.417,1332,6.031665,-35,10,307.089763,LocationArdabilAP_AR_IRN_Latitude38.317_Longitude48.417_Elevation1332_Skycover6.031665_Orientation-35_Tilt10.png
